18/12/2023 13:01:36	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
18/12/2023 13:01:54	1C:28:AF:66:2A:B2	""	"TUD-facility"	""	""	-87	22	"0"	"Ch 149 [5.745 GHz]"	""	"0 Stations, 2% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:A8:52	""	"TUD-facility"	""	""	-76	50	"0"	"Ch 60 [5.300 GHz]"	""	"0 Stations, 1% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:C7:E1	""	"tudelft-dastud"	""	""	-82	33	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 17% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:5C:09:61	""	"tudelft-dastud"	""	""	-84	29	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 37% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:5C:09:60	""	"eduroam"	""	""	-85	26	"1"	"Ch 1 [2.412 GHz]"	""	"1 Station, 37% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:C7:F2	""	"TUD-facility"	""	""	-87	22	"0"	"Ch 56 [5.280 GHz]"	""	"0 Stations, 38% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:C7:E0	""	"eduroam"	""	""	-82	33	"1"	"Ch 11 [2.462 GHz]"	""	"1 Station, 17% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:5B:8E:E2	""	"TUD-facility"	""	""	-80	38	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 13% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:65:D3:60	""	"eduroam"	""	""	-80	38	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 17% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:45:D0	""	"eduroam"	""	""	-54	86	"2"	"Ch 56 [5.280 GHz]"	""	"2 Stations, 6% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:ED:B1	""	"tudelft-dastud"	""	""	-78	43	"0"	"Ch 136 [5.680 GHz]"	""	"0 Stations, 8% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F3:0A:52	""	"TUD-facility"	""	""	-65	80	"0"	"Ch 100 [5.500 GHz]"	""	"0 Stations, 0% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:9A:61	""	"tudelft-dastud"	""	""	-76	50	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 17% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:5B:E5:50	""	"eduroam"	""	""	-78	43	"3"	"Ch 44 [5.220 GHz]"	""	"3 Stations, 9% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:5B:E5:42	""	"TUD-facility"	""	""	-82	33	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 58% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:66:2A:B0	""	"eduroam"	""	""	-87	22	"2"	"Ch 149 [5.745 GHz]"	""	"2 Stations, 2% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:65:D3:72	""	"TUD-facility"	""	""	-84	29	"0"	"Ch 108 [5.540 GHz]"	""	"0 Stations, 16% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:5C:43:E2	""	"TUD-facility"	""	""	-84	29	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 46% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F3:0A:51	""	"tudelft-dastud"	""	""	-65	80	"0"	"Ch 100 [5.500 GHz]"	""	"0 Stations, 0% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:66:28:11	""	"tudelft-dastud"	""	""	-86	24	"0"	"Ch 153 [5.765 GHz]"	""	"0 Stations, 1% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:62:01:D0	""	"eduroam"	""	""	-88	20	"8"	"Ch 36 [5.180 GHz]"	""	"8 Stations, 16% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:9F:02	""	"TUD-facility"	""	""	-68	72	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 11% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:F2:12	""	"TUD-facility"	""	""	-63	81	"0"	"Ch 40 [5.200 GHz]"	""	"0 Stations, 4% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:5B:FA:22	""	"TUD-facility"	""	""	-87	22	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 15% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:9F:11	""	"tudelft-dastud"	""	""	-75	53	"2"	"Ch 40 [5.200 GHz]"	""	"2 Stations, 2% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:9F:01	""	"tudelft-dastud"	""	""	-68	72	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 11% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:65:E9:42	""	"TUD-facility"	""	""	-85	26	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 13% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:B9:D2	""	"TUD-facility"	""	""	-53	86	"0"	"Ch 112 [5.560 GHz]"	""	"0 Stations, 21% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:5C:43:E1	""	"tudelft-dastud"	""	""	-84	29	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 46% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:F2:00	""	"eduroam"	""	""	-56	85	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 14% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:5B:83:E0	""	"eduroam"	""	""	-83	31	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 25% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:66:4C:D1	""	"tudelft-dastud"	""	""	-90	16	"0"	"Ch 165 [5.825 GHz]"	""	"0 Stations, 1% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F3:09:D2	""	"TUD-facility"	""	""	-52	87	"0"	"Ch 48 [5.240 GHz]"	""	"0 Stations, 5% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:66:28:10	""	"eduroam"	""	""	-85	26	"1"	"Ch 153 [5.765 GHz]"	""	"1 Station, 1% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:5B:E5:41	""	"tudelft-dastud"	""	""	-82	33	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 58% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:5C:09:62	""	"TUD-facility"	""	""	-85	26	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 37% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:45:C1	""	"tudelft-dastud"	""	""	-59	83	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 10% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F3:0A:42	""	"TUD-facility"	""	""	-60	82	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 11% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F3:14:C0	""	"eduroam"	""	""	-81	35	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 14% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:A8:50	""	"eduroam"	""	""	-76	50	"4"	"Ch 60 [5.300 GHz]"	""	"4 Stations, 1% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:A8:41	""	"tudelft-dastud"	""	""	-65	80	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 18% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:45:C0	""	"eduroam"	""	""	-60	82	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 10% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:5B:DB:F1	""	"tudelft-dastud"	""	""	-88	20	"0"	"Ch 44 [5.220 GHz]"	""	"0 Stations, 4% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:A8:40	""	"eduroam"	""	""	-66	78	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 18% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:A8:42	""	"TUD-facility"	""	""	-66	78	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 18% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:F4:A0	""	"eduroam"	""	""	-85	26	"3"	"Ch 6 [2.437 GHz]"	""	"3 Stations, 16% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:66:4C:D0	""	"eduroam"	""	""	-79	40	"0"	"Ch 165 [5.825 GHz]"	""	"0 Stations, 1% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:B9:D1	""	"tudelft-dastud"	""	""	-53	86	"0"	"Ch 112 [5.560 GHz]"	""	"0 Stations, 21% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:66:11:C2	""	"TUD-facility"	""	""	-85	26	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 14% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F3:14:C1	""	"tudelft-dastud"	""	""	-80	38	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 14% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:66:2A:A0	""	"eduroam"	""	""	-84	29	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 26% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:5B:E5:40	""	"eduroam"	""	""	-83	31	"1"	"Ch 11 [2.462 GHz]"	""	"1 Station, 58% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:62:01:D1	""	"tudelft-dastud"	""	""	-89	18	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 10% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:65:FE:02	""	"TUD-facility"	""	""	-72	62	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 21% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:B2:B0	""	"eduroam"	""	""	-80	38	"2"	"Ch 104 [5.520 GHz]"	""	"2 Stations, 4% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:66:28:01	""	"tudelft-dastud"	""	""	-72	62	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 35% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:B2:A0	""	"eduroam"	""	""	-74	57	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 9% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:9F:12	""	"TUD-facility"	""	""	-75	53	"0"	"Ch 40 [5.200 GHz]"	""	"0 Stations, 2% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:5B:83:E2	""	"TUD-facility"	""	""	-85	26	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 22% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:5B:8E:F0	""	"eduroam"	""	""	-84	29	"2"	"Ch 56 [5.280 GHz]"	""	"2 Stations, 14% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:87:92	""	"TUD-facility"	""	""	-81	35	"0"	"Ch 132 [5.660 GHz]"	""	"0 Stations, 3% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F3:09:C2	""	"TUD-facility"	""	""	-50	88	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 16% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:65:D3:61	""	"tudelft-dastud"	""	""	-79	40	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 17% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:9F:10	""	"eduroam"	""	""	-75	53	"11"	"Ch 40 [5.200 GHz]"	""	"11 Stations, 2% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:5B:DB:F0	""	"eduroam"	""	""	-88	20	"6"	"Ch 44 [5.220 GHz]"	""	"6 Stations, 4% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:5B:8E:E1	""	"tudelft-dastud"	""	""	-80	38	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 13% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:B2:B2	""	"TUD-facility"	""	""	-79	40	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 4% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:87:81	""	"tudelft-dastud"	""	""	-70	67	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 7% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:F2:11	""	"tudelft-dastud"	""	""	-63	81	"0"	"Ch 40 [5.200 GHz]"	""	"0 Stations, 4% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:F2:02	""	"TUD-facility"	""	""	-62	81	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 10% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:87:90	""	"eduroam"	""	""	-81	35	"9"	"Ch 132 [5.660 GHz]"	""	"9 Stations, 3% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:65:FE:12	""	"TUD-facility"	""	""	-84	29	"0"	"Ch 140 [5.700 GHz]"	""	"0 Stations, 1% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:60:A2	""	"TUD-facility"	""	""	-78	43	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 16% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:C7:F1	""	"tudelft-dastud"	""	""	-85	26	"0"	"Ch 56 [5.280 GHz]"	""	"0 Stations, 13% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:62:01:C2	""	"TUD-facility"	""	""	-82	33	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 16% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	C0:C9:E3:36:61:10	""	"TP-Link_6110"	""	""	-89	18	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 0% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:65:FE:00	""	"eduroam"	""	""	-77	46	"3"	"Ch 6 [2.437 GHz]"	""	"3 Stations, 29% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F3:09:C1	""	"tudelft-dastud"	""	""	-44	91	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 12% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:A2:A0	""	"eduroam"	""	""	-73	60	"1"	"Ch 6 [2.437 GHz]"	""	"1 Station, 12% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:65:FE:11	""	"tudelft-dastud"	""	""	-84	29	"0"	"Ch 140 [5.700 GHz]"	""	"0 Stations, 1% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:B9:C1	""	"tudelft-dastud"	""	""	-57	84	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 16% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:A9:82	""	"TUD-facility"	""	""	-61	82	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 16% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:65:D3:62	""	"TUD-facility"	""	""	-79	40	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 17% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:A2:A1	""	"tudelft-dastud"	""	""	-73	60	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 12% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:9F:00	""	"eduroam"	""	""	-68	72	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 11% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:65:D3:71	""	"tudelft-dastud"	""	""	-83	31	"0"	"Ch 108 [5.540 GHz]"	""	"0 Stations, 16% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F3:0A:41	""	"tudelft-dastud"	""	""	-60	82	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 11% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:5B:DB:E2	""	"TUD-facility"	""	""	-73	60	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 18% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:66:11:C1	""	"tudelft-dastud"	""	""	-83	31	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 13% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:A9:92	""	"TUD-facility"	""	""	-64	80	"0"	"Ch 132 [5.660 GHz]"	""	"0 Stations, 4% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:A2:B0	""	"eduroam"	""	""	-85	26	"2"	"Ch 64 [5.320 GHz]"	""	"2 Stations, 3% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:B9:C2	""	"TUD-facility"	""	""	-57	84	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 16% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:A9:81	""	"tudelft-dastud"	""	""	-60	82	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 16% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:9A:72	""	"TUD-facility"	""	""	-86	24	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 2% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:F4:A1	""	"tudelft-dastud"	""	""	-85	26	"1"	"Ch 6 [2.437 GHz]"	""	"1 Station, 16% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:87:80	""	"eduroam"	""	""	-69	70	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 7% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:60:A0	""	"eduroam"	""	""	-78	43	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 16% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:C8:70	""	"eduroam"	""	""	-88	20	"8"	"Ch 48 [5.240 GHz]"	""	"8 Stations, 5% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:A8:51	""	"tudelft-dastud"	""	""	-76	50	"0"	"Ch 60 [5.300 GHz]"	""	"0 Stations, 1% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:F4:A2	""	"TUD-facility"	""	""	-85	26	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 16% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:62:01:D2	""	"TUD-facility"	""	""	-89	18	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 10% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	C0:C9:E3:36:39:DA	""	"TP-Link_39DA_2.4GHz"	"AC1200 Wireless Dual Band Router"	""	-82	33	"0"	"Ch 10 [2.457 GHz]"	""	"0 Stations, 0% Channel Utilization, TP-Link, Archer A5, 4.0, AC1200 Wireless Dual Band Router"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F3:0A:50	""	"eduroam"	""	""	-65	80	"1"	"Ch 100 [5.500 GHz]"	""	"1 Station, 0% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:ED:B0	""	"eduroam"	""	""	-79	40	"9"	"Ch 136 [5.680 GHz]"	""	"9 Stations, 8% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:F2:01	""	"tudelft-dastud"	""	""	-55	85	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 14% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:9A:62	""	"TUD-facility"	""	""	-74	57	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 15% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	1C:28:AF:65:E9:40	""	"eduroam"	""	""	-76	50	"1"	"Ch 1 [2.412 GHz]"	""	"1 Station, 18% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:B2:B1	""	"tudelft-dastud"	""	""	-80	38	"1"	"Ch 104 [5.520 GHz]"	""	"1 Station, 4% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:9A:71	""	"tudelft-dastud"	""	""	-87	22	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 1% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:01:54	D0:4D:C6:F2:A9:80	""	"eduroam"	""	""	-62	81	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 24% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
